epoch,train_loss,val_loss,val_acc,val_f1,val_precision,val_recall
1,1.5002933911350378,1.0294898099537138,0.4423,0.43330811645485856,0.5169006526707628,0.4423
2,1.3037947565698258,0.8703494237948067,0.5362,0.5351393786291243,0.5824278654850887,0.5361999999999999
3,1.2244201398566557,0.7166589272173145,0.6012,0.5941272186470654,0.6079915624965977,0.6012000000000002
4,1.1794793964042078,0.819598030440415,0.5689,0.5529542423541385,0.6143263059369612,0.5689
5,1.1418334957583787,0.7326945820941201,0.612,0.6176366694365027,0.6539995193060942,0.6119999999999999
6,1.113581222189052,0.6744969140125227,0.6288,0.6312414893461771,0.667533873217862,0.6288
7,1.0901448885193261,0.5928181945523129,0.6873,0.685493919558432,0.695295117815139,0.6873
8,1.0715324227767222,0.5728685463531108,0.7159,0.7112217114309153,0.7194007437961966,0.7158999999999999
9,1.049234181108987,0.558475019811075,0.7066,0.7022862821533169,0.72966187692606,0.7066
10,1.0327726721458728,0.5409270845636537,0.7157,0.7117197340339316,0.7234179657542668,0.7157
11,1.0196436663417865,0.5362763170954548,0.7093,0.7075930564797424,0.7272550022628682,0.7093
12,1.0024029775653653,0.4964640736579895,0.7439,0.7468518126546521,0.7578985359730374,0.7439
13,0.9993148782978887,0.4803661194783223,0.7587,0.7583911518056436,0.765968903954506,0.7586999999999999
14,0.981251933385649,0.4743136103394665,0.7528,0.7540025567189522,0.7701108191858957,0.7528
15,0.9710529298733568,0.4667779825910737,0.7599,0.7568263414652827,0.7652863363334433,0.7598999999999999
16,0.9643899231310695,0.4645756600023825,0.7515,0.7552632167648978,0.7722895369535971,0.7515000000000001
17,0.958671272105878,0.45726592631279667,0.7596,0.7603717318416523,0.7719191681104561,0.7596
18,0.9461701963563709,0.44933951881867423,0.7798,0.7781939228552014,0.784943179107136,0.7798
19,0.9411537641149652,0.45320944808706454,0.7728,0.7723807767846067,0.781133869161966,0.7727999999999999
20,0.9373501095625446,0.4308008909979953,0.7861,0.7857317871145756,0.7902510880966398,0.7861
21,0.9290451155904004,0.4308822890625724,0.7768,0.7763030158697559,0.7878278226623382,0.7768000000000002
22,0.9227507808019438,0.39703318099432355,0.8085,0.8071922408905889,0.807915468116031,0.8085000000000001
23,0.9190348959944742,0.3985391617575778,0.8015,0.8014931980957902,0.8052737466209914,0.8014999999999999
24,0.9093770802478351,0.42707013517995424,0.7882,0.7864238194214221,0.794850177539973,0.7882000000000001
25,0.9060482966625477,0.41907173828988137,0.788,0.783992132296387,0.7945832614579451,0.788
26,0.9073111140514578,0.4499217351026173,0.7609,0.7640080433931633,0.796668373946319,0.7609000000000001
27,0.8711567080539205,0.38790468211415446,0.8102,0.8093871147946119,0.8158298382593513,0.8102
28,0.8597082934721046,0.3555167587120322,0.8198,0.8192551006381403,0.8201525786024506,0.8198000000000001
29,0.8505692692363963,0.3522036826308769,0.8168,0.8175515100043926,0.8238649011828857,0.8168
30,0.8495990112614449,0.3550645344996754,0.8233,0.8231070268478436,0.8234977010718211,0.8233
31,0.8488378776308826,0.3637011418991451,0.8135,0.8143034741900614,0.8209842193410262,0.8135
32,0.8443023568528998,0.3698331242120719,0.8027,0.8042017441852242,0.8133604337466706,0.8027
33,0.8400785929101813,0.350623565195482,0.8161,0.8160208433872548,0.8206664927752539,0.8160999999999999
34,0.8355517660260505,0.35630903251563445,0.8263,0.8263130867260383,0.8268700975259963,0.8263
35,0.8340818479542842,0.3745170699644692,0.8126,0.8113217908298225,0.8187976919622117,0.8126000000000001
36,0.8321012627438206,0.3492642475079887,0.8279,0.8269689298035582,0.8283173531489492,0.8279
37,0.8295471726171196,0.3457704565570324,0.8213,0.8211272069366187,0.8244192907775579,0.8212999999999999
38,0.8254618283427889,0.35923619455174555,0.8104,0.8106851294598318,0.8156897554531373,0.8104000000000001
39,0.8268263782076823,0.3409770404613471,0.8243,0.8241305917692703,0.8261808382783593,0.8243
40,0.8226686522478948,0.37296864843066735,0.8117,0.8107054073742462,0.8179262809135569,0.8116999999999999
41,0.8183272343767268,0.37155007769035386,0.8082,0.8091531408320016,0.8174714022899451,0.8082
42,0.8211076719224301,0.3377349306888218,0.8206,0.8201204052658874,0.8219760192333669,0.8206
43,0.8179979397512763,0.3511243432382994,0.822,0.8220368087050028,0.8246093703032015,0.8220000000000001
44,0.8143498136869172,0.35430323360841487,0.8211,0.8197324275787393,0.8218326807538421,0.8211
45,0.8138772939782009,0.36250974728336816,0.818,0.8176511425962169,0.8218414597817814,0.818
46,0.8070005434553337,0.3581248891504505,0.8129,0.8121516460493702,0.8175758254097634,0.8129000000000002
47,0.7872988285920809,0.3307077762069581,0.8321,0.8323656544248342,0.8338121163463328,0.8321
48,0.7762520112040098,0.332998188424714,0.8329,0.8323525165033272,0.8333382117873175,0.8329000000000001
49,0.7727461773568712,0.3229251800081398,0.8326,0.8321183996879806,0.8328067501900376,0.8326
50,0.7701413513297011,0.3288716445618038,0.8269,0.8273259195169738,0.8299503417876201,0.8269
